COD,CATEGORIA,PRODUCTO,PRECIO_MILES
51201,EQUIPOS_ENSAMBLADOS,COUGAR FV150 V.T.+4ARGB/RYZ 5 8600G+16GB D5 RGB+B650M WiFi+750W BZ+NVMe 1TB+MSI 25 IPS FHD (1ms-120Hz)+T+M EVC MK102 WIND 11 PRO,2849
51196,EQUIPOS_ENSAMBLADOS,COUGAR MX110 4RGB FIJO/RYZ 5 9600X+FORZA 50+16GB D5 RGB BLANCA+B650M WiFi+NVMe 512GB+MSI 25 IPS FHD (1ms-120Hz)+T+M EVC MK102,2895
51180,EQUIPOS_ENSAMBLADOS,POWER CL-W78 V.T 7ARGB/RYZ 5 5600X+16GB D4+NVMe 512G+A520M WiFi+600W+6GB RTX-3050+ASUS 25 IPS FHD (1ms-120Hz)+T+M+PAD 801 RGB W11P,3229
51184,EQUIPOS_ENSAMBLADOS,COUGAR ARCHON MESH 3ARGB/RYZ 7 8700G+16GB D5+NVMe 1TB+B650 WiFi+COUGAR 750W BZ+MSI 25 IPS FHD (1ms-120Hz)+T+M LOGITECH MK120 W11P,3309
51192,EQUIPOS_ENSAMBLADOS,COUGAR UNIFACE+4ARGB/CORE i7 12700+16GB D5+NVMe 500GB+750W BZ+B760M WiFi+MSI IPS FHD (1ms-120Hz)+T+M LOGITECH MK120 WINDOWS 11 PRO,3389
51181,EQUIPOS_ENSAMBLADOS,POWER CL-W78 V.T CURVO 7ARGB/RYZ 7 5700X+16GB D4 RGB+B550M WiFi+600W+NVMe 1TB+6GB RTX-3050+ASUS 25 IPS FHD (1ms-120Hz)+T+M 801 RGB W11P,3469
51199,EQUIPOS_ENSAMBLADOS,COUGAR MX110 4RGB FIJO/RYZ 5 5600GT+16GB D4 RGB+B550M WiFi+650W BZ+NVMe 1TB+8GB RTX-5050+MSI 25 IPS FHD (1ms-120Hz)+T+M EVC MK102 W11P,3579
51194,EQUIPOS_ENSAMBLADOS,POWER CL-L48 V.T MESH+4ARGB/RYZ 7 5700X+16GB D4 RGB+A520M+600W+NVMe 512GB+8GB RX9060XT+ASUS 25 IPS FHD (1ms-120Hz)+T+M 801 RGB W11P,3670
51198,EQUIPOS_ENSAMBLADOS,POWER CL-L48 V.T. MESH+4ARGB/RYZ 5 5600XT+16GB D4+B550M WiFi+NVMe 512GB+8GB RTX-5060+ACER 22 IPS FHD (100Hz)+T+M 801 RGB WIND 11 P,3775
5014,MEMORIAS,DDR3 4G (1600L) SAMSUNG PULL(USADA),42
5124,MEMORIAS,DDR3 8G (1600L) SAMSUNG PULL(USADA),79
5064,MEMORIAS,DDR4 8G (3200) CORSAIR VENGEANCE LPX,113
5192,MEMORIAS,DDR4 8G (3600) CORSAIR VENGEANCE LPX,119
5328,MEMORIAS,DDR4 8G (3200) CORSAIR VENGEANCE RS RGB,126
5386,MEMORIAS,DDR4 8G (3200) KINGSTON FURY BEAST RGB,126
5146,MEMORIAS,DDR4 8G (3200) CORSAIR VENGEANCE RGB PRO,126
5430,MEMORIAS,DDR4 8G (3600) CORSAIR VENGEANCE RGB PRO SL,138
5506,MEMORIAS,DDR4 16G (3000) ADATA GAMMIX D10 ROJO,169
5491,MEMORIAS,DDR4 16G (3200) ADATA XPG SPECTRIX D35G RGB,209
5224,MEMORIAS,DDR4 16G (3200) ADATA XPG SPECTRIX D60G RGB,215
5505,MEMORIAS,DDR4 32G (3200) ADATA XPG SPECTRIX D35G RGB,345
5341,MEMORIAS,DDR5 16G (5200) KINGSTON FURY BEAST,245
5479,MEMORIAS,DDR5 16G (5200) CORSAIR VENGEANCE RGB,259
5512,MEMORIAS,DDR5 16G (5200) KINGSTON FURY BEAST RGB BLANCO,269
5480,MEMORIAS,DDR5 16G (5600) VIPER PATRIOT VENOM,225
5445,MEMORIAS,DDR5 16G (5600) CORSAIR VENGEANCE,249
5463,MEMORIAS,DDR5 16G (5600) KINGSTON FURY BEAST,255
5427,MEMORIAS,DDR5 16G (5600) PATRIOT VIPER BLANCA ELITE 5 RGB,249
5500,MEMORIAS,DDR5 16G (5600) VIPER PATRIOT VENOM RGB,249
5433,MEMORIAS,DDR5 16G (5600) CORSAIR VENGEANCE RGB,289
5454,MEMORIAS,DDR5 16G (5600) KINGSTON FURY BEAST RGB,289
5482,MEMORIAS,DDR5 16G (6000) VIPER PATRIOT VENOM,239
5474,MEMORIAS,DDR5 16G (6000) GSKILL RIPJAWS M5 RGB,269
5508,MEMORIAS,DDR5 16G (6000) XPG LANCER BLADE RGB NEGRA,269
5507,MEMORIAS,DDR5 16G (6000) XPG LANCER BLADE RGB BLANCA,275
5440,MEMORIAS,DDR5 16G (6000) CORSAIR VENGEANCE RGB,289
5513,MEMORIAS,DDR5 16G (6000) KINGSTON FURY BEAST BLANCA,309
5455,MEMORIAS,DDR5 16G (6000) KINGSTON FURY BEAST RGB,309
5509,MEMORIAS,DDR5 16G (6000) XPG LANCER NEON RGB,315
5472,MEMORIAS,DDR5 16G (6400) GSKILL RIPJAWS M5 RGB,335
5470,MEMORIAS,DDR5 16G (6400) KINGSTON RENEGADE RGB,349
5467,MEMORIAS,DDR5 16G (6800) KINGSTON FURY RENEGADE RGB,369
5447,MEMORIAS,DDR5 32G (5200) CORSAIR VENGEANCE,419
5481,MEMORIAS,DDR5 32G (5600) VIPER PATRIOT VENOM,405
5446,MEMORIAS,DDR5 32G (5600) CORSAIR VENGEANCE,449
5441,MEMORIAS,DDR5 32G (5600) KINGSTON FURY BEAST,475
5439,MEMORIAS,DDR5 32G (5600) PATRIOT VIPER GAMING BLCA ELITE 5 RGB,450
5499,MEMORIAS,DDR5 32G (5600) CORSAIR VENGEANCE RGB,499
5483,MEMORIAS,DDR5 32G (6000) VIPER PATRIOT VENOM,475
5438,MEMORIAS,DDR5 32G (6000) PATRIOT VIPER GAMING BLCA ELITE 5 RGB,499
5484,MEMORIAS,DDR5 32G (6000) VIPER PATRIOT VENOM RGB,499
5498,MEMORIAS,DDR5 32G (6000) CORSAIR VENGEANCE RGB,509
5487,MEMORIAS,KT DR5 32 (6000) CORSAIR DOMINATOR TITANIO RGB (16X2),729
5502,MEMORIAS,KIT DDR5 32G (6200) VIPER PATRIOT VENOM (16X2),519
5476,MEMORIAS,KIT DDR5 32G (6800) VIPER PATRIOT VENOM RGB (16X2),579
5495,MEMORIAS,KIT DDR5 32G (7200) COR DOMINATOR TITANIO RGB (16X2),895
5442,MEMORIAS,KIT DDR5 48G (5200) CORSAIR VENGEANCE RGB (24x2),725
5452,MEMORIAS,KT DR5 48G (6000) PATRIOT VIPER ELITE 5 TUF BLANCO RGB,835
5510,MEMORIAS,KIT DDR5 64G (6000) VIPER PATRIOT VENOM,939
5413,MEMORIAS,KIT DDR5 64G (5600) CORSAIR VENGEANCE RGB (32x2),959
5478,MEMORIAS,KIT DR5 64G (6000) CORSAIR VENGEANCE RGB (32x2) LAT 30,1209
5511,MEMORIAS,KIT DDR5 96G (5200) CORSAIR VENGEANCE (48x2),1069
5514,MEMORIAS,KIT DDR5 96G (6000) CORSAIR VENGEANCE RGB (48x2),1159
6011,MEMORIAS_PORTATIL,PORTATIL DDR3 4G (1600-L) SAMSUNG PULL USADO,42
6035,MEMORIAS_PORTATIL,PORTATIL DDR3 8G (1600-L) SAMSUNG PULL - USADA,80
6084,MEMORIAS_PORTATIL,PORTATIL DDR4 8G (3200) SAMSUNG PULL USADA,85
6077,MEMORIAS_PORTATIL,PORTATIL DDR4 8G (3200) CRUCIAL,99
6056,MEMORIAS_PORTATIL,PORTATIL DDR4 16G (2666) CRUCIAL,179
6078,MEMORIAS_PORTATIL,PORTATIL DDR4 16G (3200) CRUCIAL,189
6127,MEMORIAS_PORTATIL,PORTATIL DDR5 8G (5600) SAMSUNG,119
6095,MEMORIAS_PORTATIL,PORTATIL DDR5 16G (4800) ADATA,205
6130,MEMORIAS_PORTATIL,PORTATIL DDR5 16G (4800) CORSAIR VENGEANCE,225
6126,MEMORIAS_PORTATIL,PORTATIL DDR5 32G (5200) KINGSTON,415
6115,MEMORIAS_PORTATIL,PORTATIL DDR5 32G (5600) PATRIOT,399
6131,MEMORIAS_PORTATIL,PORTATIL DDR5 32G (5600) CORSAIR VENGEANCE,415
6129,MEMORIAS_PORTATIL,PORTATIL DDR5 32G (5600) KINGSTON,425
25052,MEMORIAS_ALMACENAMIENTO,MICRO SD 128GB KINGSTON CLASE 10 CANVAS SELEC PLUS,49
25066,MEMORIAS_ALMACENAMIENTO,MICRO SD 128GB KINGSTON CANVAS GO 200MB/S C10 4K,67
25044,MEMORIAS_ALMACENAMIENTO,MICRO SD 256GB KINGSTON CLASE 10 CANVAS SELEC PLUS,92
25065,MEMORIAS_ALMACENAMIENTO,MICRO SD 256GB KINGSTON CANVAS GO 200MB/S C10 4K,105
25064,MEMORIAS_ALMACENAMIENTO,MICRO SD 512GB KINGSTON CANVAS SELECT PLUS 100MB/S,189
25061,MEMORIAS_ALMACENAMIENTO,USB 128GB KINGSTON DT EXODIA M NEGRA-ROJA,34
25056,MEMORIAS_ALMACENAMIENTO,USB 128GB KINGSTON DT EXODIA NEGRA ONYX,34
25063,MEMORIAS_ALMACENAMIENTO,USB 256GB KINGSTON DT EXODIA M BLACK/TEAL,69
25057,MEMORIAS_ALMACENAMIENTO,USB 256GB KINGSTON DT EXODIA NEGRA ONYX,69
1102,PROCESADORES_INTEL,INTEL CORE i5 12400F(2.5-18M-6COR)XII NO VIDEO,629
1098,PROCESADORES_INTEL,INTEL CORE i5 12400 (2.5-18M-6CORE)-XII,789
1106,PROCESADORES_INTEL,INTEL CORE i7 12700F (2.1Gz-25M-12CR)XII NO VIDEO,1369
1107,PROCESADORES_INTEL,INTEL CORE i7 12700 (2.1Gz-25M-12COR) XII,
1133,PROCESADORES_INTEL,INTEL CORE i3 14100F (4.7-12M-4COR) XIV NO VIDEO,565
1131,PROCESADORES_INTEL,INTEL CORE i5 14400F (2.5-9.5M-10COR) XIV NO VIDEO,779
1124,PROCESADORES_INTEL,INTEL CORE i5 14600KF (3.5-24M-14COR)XIV NO VID/NO FAN,1149
1125,PROCESADORES_INTEL,INTEL CORE i5 14600K (3.5-24M-14COR)XIV NO FAN,1239
1134,PROCESADORES_INTEL,INTEL CORE i7 14700F (2.1-33M-20COR)XIV NO VIDEO,1659
1127,PROCESADORES_INTEL,INTEL CORE i7 14700 (3.4-33M-20COR) XIV,1769
1126,PROCESADORES_INTEL,INTEL CORE i7 14700KF (3.4-33M-20COR)XIV NO FAN/VID,1785
1123,PROCESADORES_INTEL,INTEL CORE i7 14700K (3.4-33M-20COR)XIV NO FAN,1965
1122,PROCESADORES_INTEL,INTEL CORE i9 14900K (3.2-36M-24COR) XIV NO FAN,2565
1142,PROCESADORES_INTEL,INTEL CORE ULTRA 7 265 (2.4-36M-20COR),1785
1137,PROCESADORES_INTEL,INTEL CORE ULTRA 7 265KF (3.9-30M-20COR)NO FAN/VID,1809
1136,PROCESADORES_INTEL,INTEL CORE ULTRA 7 265K (3.9-30M-20COR) NO FAN,1919
1139,PROCESADORES_INTEL,INTEL CORE ULTRA 9 285 (2.5-36M-24COR),3085
1138,PROCESADORES_INTEL,INTEL CORE ULTRA 9 285K (3.7-40M-24COR) NO FAN,3209
2075,PROCESADORES_AMD,AMD RYZEN 5-4500 (3.6-6CORE) AM4,435
2095,PROCESADORES_AMD,AMD RYZEN 5-5600GT (3.6-6CORE-RADEON) AM4,709
2062,PROCESADORES_AMD,AMD RYZEN 5-5600X (3.7-32M-6CORE) AM4,789
2069,PROCESADORES_AMD,AMD RYZEN 7-5700G (3.8-8CORE-RADEON) AM4,815
2073,PROCESADORES_AMD,AMD RYZEN 7-5700X (3.4-32M-8CORE) AM4 NOFAN,925
2079,PROCESADORES_AMD,AMD RYZEN 5-7600X (4.7-6CORE RADEON) AM5 NOFAN,1149
2085,PROCESADORES_AMD,AMD RYZEN 7-7700 (3.8-8CORE-RADEON) AM5,1579
2080,PROCESADORES_AMD,AMD RYZEN 7-7700X (4.5Gz-8CR-RADEON)AM5 NO FAN,1659
2081,PROCESADORES_AMD,AMD RYZEN 9-7900X (4.7Gz-12CR RADEON)AM5 NO FAN,2029
2082,PROCESADORES_AMD,AMD RYZEN 9-7950X (4.5Gz-16CR RADEON)AM5 NO FAN,2799
2094,PROCESADORES_AMD,AMD RYZEN 5 8500G (3.5-6COR-RADEON)AM5,789
2092,PROCESADORES_AMD,AMD RYZEN 5 8600G (4.3-6CORE-RADEON)AM5,1015
2093,PROCESADORES_AMD,AMD RYZEN 7 8700G (4.2-8CORE-RADEON)AM5,1499
2096,PROCESADORES_AMD,AMD RYZEN 5 9600X (5.4-6CORE-RADEON)AM5 NO FAN,1219
2097,PROCESADORES_AMD,AMD RYZEN 7 9700X (5.5-8CORE-RADEON)AM5 NO FAN,1709
2101,PROCESADORES_AMD,AMD RYZEN 7 9800X 3D (5.2-8CORE-RADEON)AM5 NO FAN,2599
2098,PROCESADORES_AMD,AMD RYZEN 9 9900X (5.6-12COR-RADEON) AM5 NO FAN,2249
2103,PROCESADORES_AMD,AMD RYZEN 9 9900X 3D(5.5-12COR-RADEON) AM5 NO FAN,3379
2102,PROCESADORES_AMD,AMD RYZEN 9 9950X 3D (5.7-16COR-RADEON)AM5 NO FAN,3729
33394,BOARDS_INTEL_LGA1200,ASUS PRIME H510M-F R3.0 PCIEX USB3.2 HDMI X XI XII,349
33387,BOARDS_INTEL_LGA1700,ASUS PRIME H610M-K D4 CSM Pciexp 2DDR4 XII XIII XIV,429
33320,BOARDS_INTEL_LGA1700,ASUS B760M-A D4 3GPU USB 3.2 TIPO-C 4DDR4 XII XIII XIV,589
33368,BOARDS_INTEL_LGA1700,ASUS B760M-A AX6 II WIFI 6 4 GPU USB 3.2 4DDR5 XII XIII XIV,769
33310,BOARDS_INTEL_LGA1700,ASUS/ROG B760-I ITX GAMING WiFi 2DDR5 XII XIII XIV,899
33358,BOARDS_INTEL_LGA1700,ASUS/TUF B760M-PLUS GAMING WiFi II 4DDR5 XII XIII XIV,1029
33298,BOARDS_INTEL_LGA1700,ASUS TUF Z790 PLUS GAMING WIFI 2GPU 4DDR5 XII XIII XIV,1320
33390,BOARDS_INTEL_LGA1700,GIGABYTE H610M H V2 DDR4 Pciexp 2DDR5 XII XIII XIV,419
33386,BOARDS_INTEL_LGA1700,GIGABYTE B760M D3HP DDR4 PCIEXP 4DDR4 XII XIII XIV,519
33392,BOARDS_INTEL_LGA1700,GIGABYTE B760M D3HP WIFI 6 PCIEXP 4 4DDR5 XII XIII XIV,629
33360,BOARDS_INTEL_LGA1700,MSI B760M GAMING PLUS WIFI 2 GPU 4DDR5 XII XIII XIV,755
33337,BOARDS_INTEL_LGA1700,MSI B760 GAMING PLUS WiFi 5 GPU USB 3.2 4DDR5 XII XIII XIV,869
33393,BOARDS_INTEL_LGA1700,MSI B760 TOMAHAWK WIFI 2 GPU PCI 5.0 4DDR5 XII XIII XIV,979
33373,BOARDS_INTEL_LGA1851,ASUS PRIME B860M-A 2GPU USB-C PCI 5.0 4DDR5,835
33369,BOARDS_INTEL_LGA1851,ASUS TUF B860M-PLUS GAMING WIFI PCI5.0 4DDR5,1149
33370,BOARDS_INTEL_LGA1851,ASUS ROG B860-A STRIX GAMING WIFI PC 5.0 4DDR5,1389
33371,BOARDS_INTEL_LGA1851,ASUS ROG B860-F STRIX GAMING WiFi PCI5.0 4DDR5,1479
33372,BOARDS_INTEL_LGA1851,ASUS Z890 AYW GAMING WIFI W 4GPU USB-C BLANCA 4DDR5,1219
33363,BOARDS_INTEL_LGA1851,ASUS PRIME Z890M PLUS WIFI 4GPU DP USB-C 4DDR5,1255
33361,BOARDS_INTEL_LGA1851,ASUS PRIME Z890-P WIFI 4 GPU THUNDERBOLT 4DDR5,1379
33365,BOARDS_INTEL_LGA1851,ASUS ROG STRIX Z890-F GAMING WiFi. 2 GPU 4DDR5,2249
33385,BOARDS_INTEL_LGA1851,ASUS ROG MAXIMUS Z890 HERO WiFi 2GPU 4DDR5,3685
